name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
YOON,2287,15936,5.4,50960.68,2.06,(S),95.89,(S),1.31,0.54
MAST,2288,15932,5.4,50966.08,96.99,0.34,0.46,0.13,0.83,1.24
ESPINAL,2289,15924,5.4,50971.48,2.44,0.53,0.36,0.08,0.08,96.51
IBRAHIM,2290,15915,5.4,50976.87,53.26,31.35,8.17,0.13,4.73,2.36
DIETRICH,2291,15904,5.39,50982.26,94.54,0.55,0.7,0.38,1.57,2.26
BRUNER,2292,15898,5.39,50987.65,84.87,8.25,0.45,1.78,2.59,2.06
VALDIVIA,2293,15895,5.39,50993.04,4.9,0.18,0.42,0.15,0.22,94.13
JERNIGAN,2294,15889,5.39,50998.43,76.29,18.72,0.49,0.84,1.86,1.79
SCHWARZ,2295,15884,5.38,51003.81,94.26,0.26,0.71,0.18,1.35,3.23
GALE,2296,15866,5.38,51009.19,82.62,10.02,1.2,0.68,2.08,3.4
CHAPA,2297,15865,5.38,51014.57,8.15,0.39,0.69,0.43,0.16,90.17
PRATHER,2298,15860,5.38,51019.95,75.04,19.09,0.44,0.92,2.4,2.11
SEALS,2299,15858,5.38,51025.32,53.03,40.55,0.35,1.3,2.61,2.16
WETZEL,2300,15849,5.37,51030.69,95.33,0.52,0.5,0.49,1.25,1.91
MOCK,2301,15847,5.37,51036.07,84.98,7.02,2.83,0.48,1.75,2.95
PARHAM,2302,15846,5.37,51041.44,46.4,47.41,0.62,0.42,2.66,2.49
STJOHN,2303,15843,5.37,51046.81,86.41,5.66,0.66,2.25,1.69,3.34
HUTSON,2304,15835,5.37,51052.18,84.55,10.36,0.58,0.68,1.68,2.14
APONTE,2305,15828,5.37,51057.54,7.32,1.44,0.27,0.1,0.29,90.59
JOLLY,2306,15827,5.37,51062.91,74.8,18.19,2.56,0.53,1.69,2.23
STAUFFER,2307,15821,5.36,51068.27,96.04,0.17,0.46,0.32,1.22,1.79
GOODSON,2308,15820,5.36,51073.64,70.85,23.51,0.45,0.82,2.11,2.25
BOSTON,2309,15814,5.36,51079,52.66,40.86,0.52,0.79,2.78,2.4
SCRUGGS,2310,15808,5.36,51084.36,60.91,34.07,0.37,0.39,2.34,1.94
STOLTZFUS,2311,15786,5.35,51089.71,99,0.1,0.1,0.1,0.23,0.48
GIRON,2311,15786,5.35,51095.06,9.3,0.81,4.15,0.3,0.62,84.82
MCCLOUD,2313,15783,5.35,51100.41,51.28,41.08,0.3,2.59,2.55,2.19
TITUS,2314,15780,5.35,51105.76,78.65,12.79,2.08,1.59,2.22,2.66
BURNHAM,2315,15775,5.35,51111.11,90.95,3.94,0.68,0.49,1.79,2.14
GRUBBS,2316,15773,5.35,51116.45,84.95,9.99,0.46,0.84,1.81,1.96
REDDING,2317,15767,5.35,51121.8,70,24.51,0.39,0.56,1.99,2.55
TILLEY,2318,15758,5.34,51127.14,87.59,6.75,0.57,1.19,1.78,2.12
ROYAL,2319,15755,5.34,51132.48,51.84,40.83,0.82,0.56,2.77,3.18
BUSBY,2320,15754,5.34,51137.82,77.22,17.02,0.51,0.76,2.16,2.32
HILLMAN,2321,15738,5.34,51143.16,80.87,13.93,0.66,0.53,2.03,1.98
CORNETT,2322,15733,5.33,51148.49,91.78,3.87,0.49,0.58,1.69,1.59
BURR,2323,15703,5.32,51153.81,86.1,7.54,0.55,1.41,1.88,2.52
LUU,2324,15702,5.32,51159.14,1.02,0.15,96.48,0,1.68,0.67
MOSHER,2325,15672,5.31,51164.45,94.68,0.41,0.64,0.41,1.44,2.41
COLEY,2326,15671,5.31,51169.76,50.7,42.86,0.58,0.87,2.72,2.27
HAYWARD,2327,15665,5.31,51175.07,70.99,22.59,0.63,1.14,2.53,2.12
NARANJO,2328,15658,5.31,51180.38,5.45,0.2,0.51,1.97,0.29,91.58
HENRIQUEZ,2329,15657,5.31,51185.69,3.53,2.11,0.25,0.11,0.2,93.79
SKELTON,2330,15624,5.3,51190.99,88.33,6.23,0.74,0.6,1.97,2.13
CUTLER,2331,15621,5.3,51196.28,86.47,8.32,0.77,0.52,1.77,2.15
VERGARA,2332,15618,5.29,51201.58,5.83,0.3,13.36,0.04,0.99,79.47
MCGREGOR,2333,15614,5.29,51206.87,81.03,13.46,0.51,0.63,1.72,2.65
KERNS,2333,15614,5.29,51212.16,90.88,3.89,0.62,0.86,1.75,1.99
GODDARD,2335,15599,5.29,51217.45,85.55,8.48,0.67,0.95,1.87,2.47
LOMBARDO,2336,15598,5.29,51222.74,93.54,0.35,0.46,0.11,0.76,4.78
BRUNNER,2337,15593,5.29,51228.03,91.8,3.44,0.53,0.39,1.53,2.32
ROWLEY,2338,15588,5.28,51233.31,89.59,4.48,0.67,0.55,1.81,2.9
SHIPMAN,2339,15581,5.28,51238.59,79.58,14.79,0.47,0.92,1.99,2.25
COREY,2340,15569,5.28,51243.87,88.37,6.13,0.76,0.62,1.62,2.5
CRAVEN,2341,15567,5.28,51249.15,89.31,5.83,0.53,0.53,1.83,1.97
TALBOT,2342,15562,5.28,51254.42,91.31,3.23,0.81,0.44,1.52,2.69
ANDERS,2343,15554,5.27,51259.7,87.48,7.15,0.62,0.51,1.96,2.28
REAVES,2344,15550,5.27,51264.97,55.31,39.47,0.33,0.33,2.39,2.17
HOUGH,2345,15549,5.27,51270.24,83.64,10.79,0.71,0.75,1.87,2.24
IVERSON,2346,15539,5.27,51275.51,86.97,7.59,0.59,0.39,1.87,2.57
MONAHAN,2347,15533,5.27,51280.77,94.37,0.65,0.75,0.34,1.24,2.65
BEAVERS,2348,15531,5.27,51286.04,77.83,16.45,0.37,0.92,2.36,2.07
JULIAN,2349,15520,5.26,51291.3,71.59,7.71,5.09,1.49,1.96,12.15
CEBALLOS,2350,15515,5.26,51296.56,3.97,0.33,1.13,0.24,0.32,94.01
LEARY,2351,15505,5.26,51301.81,80.79,14.58,0.84,0.16,1.56,2.07
BURK,2352,15500,5.25,51307.07,90.41,3.72,0.66,0.68,1.8,2.74
BORDEN,2352,15500,5.25,51312.32,79.81,13.38,0.86,0.61,1.93,3.41
NAGY,2354,15497,5.25,51317.58,95.36,0.38,0.61,0.2,0.99,2.46
CHATMAN,2355,15473,5.25,51322.82,14.38,79.18,0.28,0.22,3.66,2.29
DOW,2356,15472,5.25,51328.07,83.14,9.58,1.29,0.78,2,3.21
CARLOS,2357,15462,5.24,51333.31,13.38,3.7,11.84,1.08,1.42,68.59
ANTONIO,2358,15461,5.24,51338.55,13.81,3.44,20.48,6.2,2.24,53.83
MCKINNON,2359,15450,5.24,51343.79,70.29,23.9,0.6,0.67,1.73,2.8
TABOR,2360,15445,5.24,51349.02,85.53,7.87,0.96,0.78,2.12,2.74
TINSLEY,2361,15442,5.23,51354.26,62.63,31.36,0.47,0.51,2.64,2.4
DRIVER,2361,15442,5.23,51359.49,71.73,21.15,0.65,1.81,2.57,2.09
DAWKINS,2363,15431,5.23,51364.73,33.3,61.16,0.29,0.4,2.4,2.46
SAUER,2364,15430,5.23,51369.96,94.92,0.43,0.8,0.2,1.32,2.33
ELIZONDO,2365,15419,5.23,51375.18,6.21,0.14,0.28,0.34,0.23,92.8
VANN,2366,15416,5.23,51380.41,52.87,31.53,5.75,3.65,3.39,2.81
WRAY,2367,15405,5.22,51385.63,82.64,12.28,0.53,0.48,2.28,1.79
TRINH,2368,15392,5.22,51390.85,1.2,(S),95.93,(S),1.88,0.87
RUFF,2369,15383,5.21,51396.07,72.66,22.29,0.57,0.46,1.9,2.12
SOUSA,2370,15377,5.21,51401.28,89.11,1.65,0.86,0.25,1.43,6.7
MAHAN,2371,15375,5.21,51406.49,85.78,7.23,1.35,0.68,2.16,2.82
LEONE,2372,15364,5.21,51411.7,93.08,1.23,0.77,0.46,0.98,3.48
HE,2373,15363,5.21,51416.91,2.29,(S),95.92,(S),0.49,0.97
BARTHOLOMEW,2374,15339,5.2,51422.11,84.8,9.29,0.7,0.64,2.08,2.5
HINDS,2375,15337,5.2,51427.31,62.39,29.7,0.71,0.74,2.45,4.02
CALL,2376,15324,5.19,51432.5,93.11,1.14,0.67,0.4,1.59,3.1
DOWELL,2377,15320,5.19,51437.69,76.23,18.79,0.38,0.48,1.86,2.26
KELLOGG,2378,15317,5.19,51442.89,88.84,5.41,0.77,0.55,1.93,2.5
HORVATH,2379,15302,5.19,51448.08,95.14,0.39,0.64,0.09,1.19,2.55
WHITMORE,2380,15296,5.19,51453.26,74.76,19.38,0.69,0.63,2.62,1.91
BIANCO,2381,15278,5.18,51458.44,49.57,0.8,0.58,0.11,0.69,48.25
JACK,2382,15256,5.17,51463.61,59.09,28.61,1.94,4.92,2.85,2.6
PANTOJA,2383,15249,5.17,51468.78,3.65,0.35,0.66,0.07,0.16,95.13
NEGRETE,2384,15245,5.17,51473.95,5.07,0.12,0.21,0.16,0.17,94.27
HEARN,2385,15234,5.16,51479.11,75.88,18.8,0.65,0.35,1.9,2.42
THURSTON,2385,15234,5.16,51484.28,84.88,10.33,0.58,0.33,1.78,2.1
WATT,2387,15211,5.16,51489.43,78.55,14.28,1.37,0.99,2.2,2.62
ROQUE,2388,15203,5.15,51494.59,8.65,2.06,11.22,0.18,1.23,76.66
PYLE,2389,15180,5.15,51499.73,93.11,1.61,0.65,0.63,1.55,2.45
KITCHEN,2390,15170,5.14,51504.88,80.03,14.39,0.52,0.67,2.12,2.27
GUILLORY,2391,15161,5.14,51510.02,47.93,44.83,0.55,0.59,2.76,3.34
CHONG,2392,15146,5.13,51515.15,3.2,1.72,78.89,0.1,7.3,8.79
LEMON,2393,15140,5.13,51520.28,61.92,29.59,0.73,0.63,2.31,4.82
KEARNS,2394,15136,5.13,51525.42,92.48,2.7,0.63,0.26,1.72,2.2
MOHAMMED,2395,15132,5.13,51530.55,17.16,36.67,34.25,0.65,7.94,3.34
PURDY,2396,15126,5.13,51535.67,88,4.97,1.25,0.41,2.7,2.67
LENTZ,2396,15126,5.13,51540.8,94.64,0.95,0.56,0.45,1.38,2.02
FALCON,2398,15125,5.13,51545.93,22.52,1.93,1.3,2.27,0.86,71.13
FLINT,2399,15123,5.13,51551.06,85.21,9.42,0.61,0.42,1.85,2.48
DELGADILLO,2399,15123,5.13,51556.18,3.11,0.13,0.15,0.24,0.12,96.24
WAGONER,2401,15118,5.13,51561.31,91.78,3.02,0.64,0.75,1.48,2.33
FAJARDO,2402,15100,5.12,51566.43,4.86,0.5,13.28,0.23,0.91,80.21
BRIONES,2403,15098,5.12,51571.54,5.86,0.32,11.04,0.52,0.95,81.32
CONN,2404,15089,5.12,51576.66,91.32,2.9,0.58,0.99,1.72,2.49
HER,2404,15089,5.12,51581.78,1.55,0.23,94.82,0.04,0.99,2.37
ARMENTA,2406,15078,5.11,51586.89,7.94,0.14,0.25,0.9,0.27,90.51
DOBBINS,2407,15076,5.11,51592,70.98,23.57,0.36,0.68,2.22,2.2
CHESTER,2408,15066,5.11,51597.11,66.05,27.12,0.82,1.69,2.25,2.08
BANDA,2409,15055,5.1,51602.21,8.12,2.56,2.98,0.21,0.36,85.77
URBINA,2409,15055,5.1,51607.31,4.92,0.31,0.68,0.15,0.22,93.72
MATTINGLY,2411,15050,5.1,51612.41,94.47,1.51,0.47,0.51,1.44,1.59
BECKMAN,2412,15045,5.1,51617.52,94.22,1.4,0.47,0.48,1.48,1.96
SOLORZANO,2412,15045,5.1,51622.62,4.27,0.22,0.2,0.13,0.15,95.03
RUTH,2414,15012,5.09,51627.7,82.54,11.83,0.84,0.49,1.57,2.73
STARKEY,2415,15004,5.09,51632.79,88.28,6.35,0.63,0.8,1.79,2.15
LIND,2416,14990,5.08,51637.87,89.23,1.15,0.91,1.17,1.9,5.64
WAGGONER,2417,14983,5.08,51642.95,92.36,2.6,0.42,0.69,1.77,2.15
GANNON,2418,14981,5.08,51648.03,94.58,0.76,1.15,0.29,1.37,1.86
MEEK,2419,14970,5.07,51653.11,91.64,2.32,0.73,1.01,1.74,2.55
PUENTE,2420,14966,5.07,51658.18,5.88,0.23,0.18,0.43,0.13,93.14
BAIL,2421,14957,5.07,51663.25,81.67,12.13,1.5,0.6,1.5,2.6
ISAACS,2422,14951,5.07,51668.32,83.93,9.58,1.07,1.1,2.08,2.23
BROWER,2423,14950,5.07,51673.39,86.48,6.62,0.68,1.75,1.8,2.68
YAZZIE,2424,14949,5.07,51678.45,1.58,0.07,0.09,94.56,1.74,1.95
STRANGE,2425,14948,5.07,51683.52,82.36,12.9,0.48,0.56,1.57,2.12
BOLES,2426,14946,5.07,51688.59,81.76,12.74,0.4,0.62,2.21,2.27
MARES,2427,14931,5.06,51693.65,16.02,0.48,0.25,0.5,0.25,82.5
WILBURN,2428,14928,5.06,51698.71,67.45,26.63,0.36,0.71,2.16,2.69
MALIK,2429,14925,5.06,51703.77,22.2,6.13,66.6,0.07,3.3,1.7
PRIEST,2430,14915,5.06,51708.83,88.11,6.11,0.56,0.6,2.02,2.59
MICHAUD,2431,14910,5.05,51713.88,90.62,4.56,0.52,0.58,1.77,1.94
TEJADA,2432,14903,5.05,51718.93,3.29,0.54,4.4,0.11,0.65,91
IRVING,2433,14896,5.05,51723.98,51.42,40.75,0.49,1.74,2.68,2.93
FARRAR,2434,14892,5.05,51729.03,80.05,13.87,0.62,0.49,2.1,2.87
POWER,2435,14890,5.05,51734.08,90.5,3.82,0.8,0.52,1.71,2.65
GENTILE,2436,14873,5.04,51739.12,94.61,0.43,0.52,0.11,0.95,3.36
DENT,2436,14873,5.04,51744.16,57.45,37.41,0.52,0.48,2.14,2
DOUGLASS,2438,14862,5.04,51749.2,82.73,12.37,0.57,0.28,1.74,2.3
LUNDY,2439,14850,5.03,51754.24,66.67,27.78,0.56,0.77,2.39,1.84
FAY,2440,14849,5.03,51759.27,92.62,1.7,1,0.44,1.4,2.84
BEEBE,2441,14847,5.03,51764.3,92.81,1.19,0.69,1.04,1.93,2.34
CHAVIS,2442,14844,5.03,51769.34,28.15,39.71,0.46,23.82,4.32,3.53
REA,2443,14819,5.02,51774.36,72.34,0.92,1.21,0.59,1.1,23.83
GRIFFITHS,2444,14805,5.02,51779.38,85.43,9.79,0.56,0.16,1.81,2.24
IRELAND,2445,14800,5.02,51784.4,88.3,6.86,0.56,0.61,1.32,2.34
MARION,2446,14777,5.01,51789.41,70.47,23.17,0.61,0.97,2.25,2.54
LIRA,2447,14758,5,51794.41,8.23,0.25,0.73,0.22,0.27,90.3
SCHULER,2448,14745,5,51799.41,92.17,2.86,0.84,0.55,1.53,2.05
UNGER,2449,14738,5,51804.4,94.18,1.23,0.69,0.63,1.25,2.02
MOJICA,2450,14737,5,51809.4,4.28,0.76,5.2,0.23,0.73,88.8
RUDD,2451,14732,4.99,51814.39,79.83,14.13,0.54,1.05,2.04,2.41
DEMARCO,2452,14731,4.99,51819.39,93.99,0.79,0.48,0.12,1.12,3.5
HUMMEL,2453,14715,4.99,51824.38,96.3,0.27,0.65,0.16,1.05,1.58
ALMANZA,2454,14708,4.99,51829.36,4.12,0.33,0.38,0.27,0.13,94.78
MERCHANT,2455,14692,4.98,51834.34,63.76,15.71,14.31,0.59,2.35,3.29
MONROY,2456,14673,4.97,51839.32,5.24,0.16,0.95,0.2,0.15,93.29
GRUBB,2456,14673,4.97,51844.29,94.85,1.61,0.38,0.27,1.38,1.51
HARMAN,2458,14658,4.97,51849.26,94.03,1.39,0.76,0.38,1.6,1.84
DURBIN,2459,14650,4.97,51854.23,93.77,1.01,0.54,0.41,1.72,2.55
GAYTAN,2460,14647,4.97,51859.19,3.19,0.14,0.12,0.11,0.12,96.31
BAUMANN,2461,14644,4.96,51864.16,94.81,0.47,0.69,0.42,1.33,2.28
SALTER,2462,14641,4.96,51869.12,69.76,24.94,0.55,0.77,2.09,1.89
SILVERMAN,2463,14636,4.96,51874.08,95.09,0.81,0.88,0.11,1.09,2.02
MEEHAN,2464,14630,4.96,51879.04,94.96,0.31,0.64,0.21,1.02,2.86
DENNISON,2465,14629,4.96,51884,83.74,7.33,0.68,3.62,2.4,2.24
KNOTT,2466,14622,4.96,51888.96,83.13,11.82,0.5,0.58,1.61,2.35
PERALES,2467,14593,4.95,51893.91,5.84,0.33,0.64,0.12,0.16,92.9
FRANCOIS,2467,14593,4.95,51898.85,15.88,78.04,0.52,0.36,2.59,2.61
MULLIGAN,2469,14590,4.95,51903.8,91.47,3.52,0.75,0.25,1.26,2.73
STCLAIR,2469,14590,4.95,51908.74,84.73,8.12,0.41,2.23,2.06,2.45
BLISS,2471,14588,4.95,51913.69,92.14,1.79,0.91,0.88,1.86,2.42
WAKEFIELD,2472,14587,4.95,51918.63,80.87,13.4,0.79,0.53,2.17,2.24
KAHN,2473,14584,4.94,51923.58,86.07,1.86,7.25,0.53,1.23,3.05
BARTH,2474,14579,4.94,51928.52,94.71,0.97,0.61,0.27,1.19,2.24
PARNELL,2475,14560,4.94,51933.46,76.94,17.32,0.45,1.28,2.01,2
DOVE,2475,14560,4.94,51938.39,76.4,18.34,0.45,0.76,1.94,2.11
NORIEGA,2477,14559,4.94,51943.33,5.78,0.69,1.88,0.81,0.27,90.57
CLOUD,2478,14555,4.93,51948.26,68.82,17.24,0.47,6.85,3.41,3.22
STEARNS,2479,14554,4.93,51953.2,90.99,3,0.71,0.76,1.76,2.78
NAGEL,2480,14545,4.93,51958.13,94.79,0.33,0.86,0.5,1.14,2.38
WELDON,2481,14538,4.93,51963.06,80.1,13.7,0.57,0.7,2.31,2.62
HANDY,2482,14537,4.93,51967.98,55.47,36.38,0.74,0.54,2.76,4.12
LORENZ,2483,14528,4.93,51972.91,93.73,0.45,0.76,0.41,1.36,3.28
CROOK,2484,14526,4.92,51977.83,83.28,11.32,0.65,0.88,1.72,2.15
LOOMIS,2485,14518,4.92,51982.76,94.38,0.41,0.52,0.65,1.49,2.55
LAWS,2486,14511,4.92,51987.68,71.61,22.83,0.54,0.54,2.36,2.12
SALMON,2486,14511,4.92,51992.59,69.37,17.17,1.47,0.47,2.06,9.45
CENTENO,2488,14510,4.92,51997.51,4.8,0.74,4.3,0.1,0.56,89.5
ROARK,2489,14509,4.92,52002.43,94.12,1.64,0.3,0.52,1.71,1.72
HOSTETLER,2490,14505,4.92,52007.35,97.46,0.19,0.3,0.1,0.97,0.99
HERRINGTON,2491,14498,4.91,52012.26,85.03,10.19,0.54,0.45,1.81,1.98
HIGGINBOTHAM,2492,14489,4.91,52017.18,88.91,6.34,0.43,0.33,1.79,2.19
CARNES,2493,14487,4.91,52022.09,88.64,5.63,0.55,0.99,1.7,2.48
TOBIAS,2494,14482,4.91,52027,55.01,13.35,3.78,0.26,1.53,26.06
SORIA,2495,14477,4.91,52031.9,7.14,0.25,4.31,0.15,0.46,87.68
LIMON,2496,14472,4.91,52036.81,6.75,0.39,1.42,0.25,0.3,90.89
DIGGS,2497,14467,4.9,52041.72,24.55,68.07,0.4,0.51,3.95,2.52
PARISH,2498,14466,4.9,52046.62,81.36,12.15,0.63,1.41,2.14,2.31
LUONG,2499,14464,4.9,52051.52,1.12,0.08,96.63,0.04,1.39,0.73
RESENDIZ,2500,14457,4.9,52056.42,2.63,0.08,0.09,0.12,0.06,97.02
KELSEY,2501,14456,4.9,52061.32,84.1,9.93,0.66,1.25,1.82,2.23
ECHOLS,2501,14456,4.9,52066.22,47.65,46.56,0.33,0.62,2.48,2.37
WORTHINGTON,2503,14452,4.9,52071.12,87.57,7.06,0.57,0.64,1.79,2.37
BARBOUR,2504,14451,4.9,52076.02,72.65,21.93,0.42,0.49,2.28,2.24
COLES,2505,14449,4.9,52080.92,43.62,48.71,0.6,0.35,3.62,3.11
FOURNIER,2505,14449,4.9,52085.82,91.94,0.78,0.57,0.53,1.23,4.96
STARNES,2507,14442,4.9,52090.72,87.94,7.81,0.44,0.46,1.34,2
RANDLE,2508,14437,4.89,52095.61,25.97,68.79,0.27,0.3,2.73,1.95
REARDON,2509,14435,4.89,52100.5,94.42,1.27,0.5,0.2,1.39,2.21
COUGHLIN,2510,14434,4.89,52105.4,95.57,0.3,0.67,0.25,1.07,2.14
VICK,2511,14421,4.89,52110.29,81.96,13.26,0.42,0.45,1.53,2.38
JACQUES,2512,14417,4.89,52115.17,63.04,24.92,0.78,0.42,1.86,8.99
HEIM,2513,14414,4.89,52120.06,91.66,3.26,0.62,0.33,1.63,2.5
STATON,2514,14413,4.89,52124.95,65.77,29.16,0.43,0.57,2.08,1.98
GARAY,2515,14393,4.88,52129.83,9.48,0.77,1.45,0.09,0.28,87.92
LAWLER,2516,14387,4.88,52134.7,89.96,5.28,0.56,0.29,1.61,2.31
BOWSER,2517,14383,4.88,52139.58,74.44,21.1,0.34,0.37,2.03,1.72
HARMS,2518,14377,4.87,52144.45,91.56,3.73,0.65,0.34,1.54,2.18
FIERRO,2519,14371,4.87,52149.32,14.81,0.21,0.29,0.49,0.38,83.81
PEDERSON,2520,14370,4.87,52154.2,94.78,0.3,0.62,0.94,1.49,1.87
COLLAZO,2521,14369,4.87,52159.07,6.53,0.96,0.24,0.1,0.24,91.92
MCMAHAN,2522,14368,4.87,52163.94,91.48,3.81,0.38,0.81,1.66,1.85
HERSHBERGER,2523,14357,4.87,52168.8,98.08,0.12,0.22,0.07,0.7,0.81
LINTON,2524,14354,4.87,52173.67,69.16,23.6,0.51,1.12,2.44,3.18
OGLE,2524,14354,4.87,52178.54,91.65,2.63,0.57,1.11,1.88,2.15
MEHTA,2526,14342,4.86,52183.4,3.31,0.19,92.9,0.29,2.63,0.68
MAYBERRY,2527,14326,4.86,52188.26,70.78,23.43,0.36,0.59,2.56,2.28
BARGER,2528,14324,4.86,52193.11,93.56,1.61,0.36,0.98,1.49,2
ALLEY,2529,14323,4.86,52197.97,92.3,2.63,0.66,0.67,1.8,1.94
OSWALD,2530,14322,4.86,52202.82,94.81,0.89,0.62,0.34,1.28,2.06
STODDARD,2531,14317,4.85,52207.68,91.71,3.31,0.58,0.39,1.79,2.22
MCDONNELL,2532,14309,4.85,52212.53,94.65,1.01,0.51,0.29,1.25,2.29
SHELLEY,2533,14300,4.85,52217.37,85.02,9.74,0.66,0.83,1.69,2.05
NEWCOMB,2534,14292,4.85,52222.22,92.69,1.84,0.75,0.61,2,2.11
BLACKMAN,2535,14278,4.84,52227.06,57.56,35.58,0.57,0.81,2.35,3.13
AUGUSTINE,2536,14268,4.84,52231.9,66.8,20.31,4.62,2.27,1.9,4.1
MARK,2537,14265,4.84,52236.73,64.91,15.44,11.34,2.52,2.53,3.26
CREECH,2538,14264,4.84,52241.57,90.57,5.48,0.41,0.6,1.59,1.35
STUMP,2539,14257,4.83,52246.4,93.65,0.74,0.51,1.74,1.42,1.94
CHANCE,2540,14256,4.83,52251.23,74.01,18.82,0.79,1.3,2.38,2.69
TEJEDA,2541,14240,4.83,52256.06,3.12,0.5,0.12,0.08,0.16,96.02
CLEMENS,2542,14231,4.82,52260.89,91.08,3.46,0.54,0.39,1.88,2.64
BAUGHMAN,2543,14230,4.82,52265.71,94.5,0.98,0.47,0.6,1.62,1.83
RYDER,2544,14228,4.82,52270.53,92.14,2.85,0.78,0.52,1.7,2.02
LOMBARDI,2545,14227,4.82,52275.36,93.8,0.35,0.67,0.13,0.85,4.2
WEINER,2546,14208,4.82,52280.17,95.77,0.43,0.51,0.15,1.07,2.07
MOTA,2547,14182,4.81,52284.98,12.16,0.65,1.09,0.31,0.24,85.55
VILLASENOR,2548,14180,4.81,52289.79,3.41,0.14,1.88,0.16,0.18,94.22
BREEN,2549,14170,4.8,52294.59,88.47,6.86,0.78,0.25,1.23,2.41
GANT,2550,14167,4.8,52299.39,45.2,48.34,0.52,0.45,3.31,2.18
KONG,2551,14165,4.8,52304.2,4.46,2.22,87.91,0.09,3.54,1.78
WAY,2552,14157,4.8,52309,80.02,12.31,2.51,0.86,1.79,2.49
KAMINSKI,2553,14152,4.8,52313.79,96.1,0.3,0.47,0.2,0.94,1.99
VANHORN,2554,14151,4.8,52318.59,91.25,3.19,0.5,0.51,1.67,2.88
LOCKETT,2555,14140,4.79,52323.38,22.12,71.39,0.44,0.32,3.33,2.4
ELAM,2556,14138,4.79,52328.18,67.73,26.79,0.59,0.84,2.2,1.85
MAIER,2557,14135,4.79,52332.97,94.67,0.45,0.67,0.37,1.32,2.53
GRUBER,2558,14131,4.79,52337.76,94.25,0.71,0.65,0.82,1.35,2.21
ANGELES,2559,14128,4.79,52342.55,6.94,0.33,22.54,0.12,1.59,68.48
TRAHAN,2560,14114,4.78,52347.33,85.94,9.1,0.55,0.82,1.42,2.18
IRIZARRY,2560,14114,4.78,52352.12,8.99,1.33,0.3,0.19,0.18,89
RAPP,2562,14107,4.78,52356.9,94.19,1.57,0.69,0.33,1.28,1.94
FOSS,2563,14094,4.78,52361.68,93.91,0.98,0.72,0.62,1.63,2.13
MCCLELLAND,2564,14092,4.78,52366.46,84.71,10.4,0.45,0.53,1.53,2.38
KILPATRICK,2565,14087,4.78,52371.23,80.27,14.01,0.53,0.8,1.89,2.51
DAIGLE,2566,14084,4.77,52376.01,93.41,3,0.44,0.63,0.99,1.53
BURDICK,2567,14081,4.77,52380.78,94.4,0.37,0.65,0.65,1.44,2.49
WEATHERS,2568,14073,4.77,52385.55,59.97,33.69,0.47,0.75,2.91,2.22
GAVIN,2569,14061,4.77,52390.32,76.2,17.74,0.81,0.43,1.5,3.32
WINSLOW,2570,14056,4.77,52395.08,83.71,11.06,0.67,0.54,1.81,2.21
WHITTEN,2571,14054,4.76,52399.85,86.79,8.12,0.42,0.58,1.61,2.48
DEATON,2572,14052,4.76,52404.61,94.61,0.98,0.43,0.68,1.27,2.03
SEAY,2573,14046,4.76,52409.37,66.84,27.84,0.38,0.58,2.66,1.69
SQUIRES,2574,14045,4.76,52414.13,88.8,5.96,0.64,0.55,1.77,2.29
ESTEP,2575,14037,4.76,52418.89,92.61,2.66,0.52,0.61,1.67,1.94
ARNDT,2576,14031,4.76,52423.65,94.77,0.33,0.68,0.51,1.43,2.27
SATTERFIELD,2577,14023,4.75,52428.4,83.37,11.2,0.47,0.85,2.08,2.04
EARLY,2578,14014,4.75,52433.15,73.23,21.45,0.46,0.73,2.15,1.97
MOUA,2579,14013,4.75,52437.9,0.9,0.15,96.62,0,1.18,1.15
HECK,2580,13995,4.74,52442.65,93.05,1.97,0.61,0.74,1.4,2.24
FAIRCHILD,2581,13993,4.74,52447.39,91.68,2.87,0.5,0.58,1.86,2.52
ROWAN,2581,13993,4.74,52452.14,87.26,7.03,0.69,0.86,1.92,2.24
OUELLETTE,2583,13984,4.74,52456.88,95.92,0.25,0.42,0.44,1.42,1.54
BEAM,2584,13972,4.74,52461.61,92.66,3.06,0.4,0.46,1.47,1.95
HIGH,2585,13961,4.73,52466.35,70.32,23.84,0.71,0.6,2.18,2.35
SEBASTIAN,2586,13934,4.72,52471.07,51.79,3.06,15.37,0.95,1.79,27.04
DONOHUE,2587,13919,4.72,52475.79,95.24,0.39,0.65,0.17,1.22,2.33
MOELLER,2588,13915,4.72,52480.51,95.68,0.2,0.53,0.24,1.01,2.33
LUTHER,2589,13906,4.71,52485.22,88.13,3.7,2.08,2,1.7,2.4
LOFTON,2590,13900,4.71,52489.93,36.83,56.47,0.29,1.32,2.83,2.26
KRUGER,2591,13898,4.71,52494.64,94.22,0.4,0.67,0.68,1.3,2.73
MYLES,2591,13898,4.71,52499.36,21.61,72.13,0.32,0.22,3.18,2.53
HUMPHREYS,2593,13895,4.71,52504.07,90.53,3.81,0.48,0.69,1.6,2.88
RENNER,2594,13889,4.71,52508.77,94.31,1.06,0.52,0.47,1.26,2.38
ALVES,2595,13882,4.71,52513.48,76.99,11.68,1.65,0.4,1.9,7.38
FORRESTER,2596,13878,4.7,52518.19,84.01,11.49,0.36,0.45,1.51,2.18
